,,GPI from Models,,
Fishnet No,IDOCRIW-CoCoSo,CRITIC-CoCoSo,Mean Weighted COCOSO,Storativity data
130,6.238769,4.409861411,4.332768221,0.000016
131,6.058676,4.262681683,4.293902369,0.000012
132,5.722783,4.141779284,4.105508755,0.000012
133,6.194747,4.858347441,4.322309909,0.000020
134,6.154534,5.559875117,4.83983392,0.000012
135,5.400999,5.031766977,4.353048933,0.000007
136,4.510277,4.420878148,3.770691985,0.000002
137,6.47369,5.609105093,4.973955396,0.000002
138,5.626198,5.023506038,4.330014451,0.000008
139,4.200767,4.315959183,3.664240705,0.000001
140,1.43475,1.680079857,1.643610618,0.000002
141,4.964674,4.935352542,4.289632373,0.000008
142,6.04215,5.126936817,4.441058151,0.000010
143,10.166842,4.410978921,4.957630318,0.000012
144,6.82524,3.750725733,4.123202289,0.000008
145,2.724284,2.444435002,2.515058544,0.000002
146,7.799608,6.043200902,5.399508301,0.000013
147,3.604617,2.304162383,2.44289407,0.000021
148,6.275498,5.836608648,5.075978819,0.000016
149,5.048325,4.878746797,4.175613055,0.000007
150,4.505126,4.537197394,3.800886786,0.000008
151,5.298373,5.003533388,4.230753759,0.000013
152,6.30236,5.371292594,4.662300202,0.000010
153,11.330816,6.566875242,6.2296932,0.000015
154,7.014123,5.424706381,4.814296157,0.000007
155,6.059242,5.530771302,4.83151132,0.000008
156,7.820164,6.154828478,5.435775262,0.000017
157,6.363408,5.191326678,4.592001751,0.000032
158,6.123639,5.917729849,5.146940987,0.000018
159,2.324535,2.43484085,2.290231774,0.000002
160,5.343898,4.343285414,3.722105235,0.000023
161,7.610673,6.079309632,5.320187103,0.000016
162,8.137232,5.106170041,4.704631647,0.000022
163,6.297763,5.630436742,4.950456277,0.000009
164,4.659513,3.868147607,3.85755657,0.000015
165,6.301781,4.818824801,4.730872723,0.000018
166,5.55333,4.97764513,4.362083105,0.000012
167,7.411858,6.187447916,5.504586704,0.000016
168,6.425442,5.628109005,4.880793152,0.000015
169,7.562266,5.190201672,4.749861323,0.000020
170,8.101511,5.384281712,4.95271202,0.000025
171,5.998827,4.654522168,4.122336056,0.000013
172,2.935947,2.540874516,2.639187477,0.000015
173,7.218341,5.071186065,4.630752276,0.000019
174,8.80591,5.639663957,5.244578583,0.000023
